"year" "number" "freq" "pr"
2006 46 2 0.0384615384615385
2007 46 3 0.0576923076923077
2008 46 4 0.0769230769230769
2009 46 7 0.134615384615385
2010 46 11 0.207547169811321
2011 46 7 0.0813953488372093
2012 46 8 0.0769230769230769
2013 46 3 0.0285714285714286
2014 46 6 0.0821917808219178
2004 47 4 0.0851063829787234
2005 47 9 0.173076923076923
2006 47 6 0.115384615384615
2007 47 1 0.0192307692307692
2008 47 3 0.0576923076923077
2009 47 7 0.134615384615385
2010 47 4 0.0754716981132075
2011 47 8 0.0930232558139535
2012 47 7 0.0673076923076923
2013 47 9 0.0857142857142857
2014 47 9 0.123287671232877
2004 48 3 0.0638297872340425
2005 48 5 0.0961538461538462
2006 48 3 0.0576923076923077
2007 48 7 0.134615384615385
2008 48 3 0.0576923076923077
2009 48 3 0.0576923076923077
2010 48 2 0.0377358490566038
2011 48 11 0.127906976744186
2012 48 11 0.105769230769231
2013 48 8 0.0761904761904762
2014 48 6 0.0821917808219178
2004 49 5 0.106382978723404
2005 49 3 0.0576923076923077
2006 49 8 0.153846153846154
2007 49 5 0.0961538461538462
2008 49 6 0.115384615384615
2009 49 5 0.0961538461538462
2010 49 7 0.132075471698113
2011 49 8 0.0930232558139535
2012 49 11 0.105769230769231
2013 49 8 0.0761904761904762
2014 49 7 0.0958904109589041
2004 50 4 0.0851063829787234
2005 50 10 0.192307692307692
2006 50 12 0.230769230769231
2007 50 3 0.0576923076923077
2008 50 14 0.269230769230769
2009 50 4 0.0769230769230769
2010 50 4 0.0754716981132075
2011 50 14 0.162790697674419
2012 50 9 0.0865384615384615
2013 50 13 0.123809523809524
2014 50 6 0.0821917808219178
